symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0404,0.8303,0.631,0.5,0.5,0.485,-9.56,5.45,18.95,4,C,0,54.64422,39.83,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.46,0.482
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.0393,0.5924,0.609,0.5,0.6,0.485,4.6,1.34,17.71,4,C,0,48.44627,307.32001,-2.17,14.9,,1.19,56.75,45.72,31.73,0.47,6672000000.0,25920000000.0,8224000000.0,0.5,0.28,0.422
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.0385,0.6671,0.629,0.5,0.48,0.485,3.67,1.44,21.67,3,C,0,60.43992,162.61,-71.27,12.14,,0.88,64.81,35.38,19.81,,10773000000.0,37878000000.0,7503000000.0,0.5,0.355,0.447
NVDA,NVIDIA Corp,Technology,Semiconductors,0.0362,1.0181,0.83,0.5,0.5,0.485,-4.0,-2.11,27.24,8,A,0,49.70098,184.86,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.5,0.42,0.468
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.0357,0.669,0.611,0.5,0.53,0.485,11.14,5.71,18.55,4,C,0,68.20521,541.94,11.11,6.92,0.32,0.85,69.09,38.56,29.33,,5565000000.0,14208000000.0,4167000000.0,0.5,0.355,0.447
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,0.0352,0.7282,0.589,0.5,0.53,0.485,5.78,3.17,22.46,3,C,0,64.36123,5492.10986,-1.46,21.23,,1.31,,31.83,24.78,1.81,7894000000.0,23739000000.0,5882000000.0,0.5,0.415,0.467
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.0349,0.5108,0.286,0.5,0.6,0.485,3.2,1.41,14.72,0,D,0,52.78193,95.18,20.71,6.08,0.13,0.56,,30.69,25.47,0.3,6622000000.0,16930000000.0,4312000000.0,0.5,0.5,0.495
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,0.0308,0.5015,0.286,0.5,0.7,0.485,15.78,6.47,19.91,0,D,0,58.42651,713.34998,55.65,26.96,0.62,1.31,61.04,28.95,22.78,3.1,798079000.0,3897504000.0,887867000.0,0.5,0.46,0.482
ADBE,Adobe Inc.,Technology,Software - Application,0.0292,0.7592,0.62,0.5,0.5,0.485,-3.89,0.2,26.73,4,C,0,41.74548,333.95001,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0,0.5,0.42,0.468
CRM,Salesforce Inc.,Technology,Software - Application,0.0252,0.7384,0.597,0.5,0.65,0.485,5.96,2.49,28.0,3,C,0,52.57823,259.94,10.13,6.02,0.19,1.06,77.19,20.23,16.35,,12434000000.0,37895000000.0,6197000000.0,0.5,0.375,0.453
