symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income
PBH,Prestige Consumer Healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,0.03,0.517,0.402,0.5,0.443,1.0,-11.42,-23.34,20.66,3,C,0,46.23963,59.58,11.7,6.31,0.57,4.2,55.76,30.7,18.86,0.72,243291000.0,1137762000.0,214605000.0
NVDA,NVIDIA Corp.,Technology,Semiconductors,0.0296,0.767,0.786,0.5,0.753,1.0,0.05,30.33,40.83,8,A,0,44.019376,180.25999,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0
KD,Kyndryl Holdings Inc,Technology,Information Technology Services,0.0285,0.45,0.36,0.5,0.462,0.65,-19.26,-28.38,35.6,3,C,0,43.73103,25.44,18.84,2.4,2.97,1.07,20.87,3.67,1.67,0.55,337000000.0,15057000000.0,251000000.0
FICO,Fair Isaac Corp.,Technology,Software - Application,0.0257,0.55,0.367,0.5,0.971,0.45,19.31,-9.95,38.59,3,C,0,59.38724,1797.27002,-37.34,34.9,,0.83,82.23,47.0,32.75,0.45,739400000.0,1990869000.0,651946000.0
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,0.025,0.516,0.373,0.5,0.554,0.9,7.81,45.66,26.19,4,C,0,60.30322,252.53999,31.82,10.47,1.02,1.68,30.67,8.73,6.03,,1603000000.0,30762000000.0,1856000000.0
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.0226,0.574,0.365,0.5,0.77,0.95,-9.49,0.02,22.57,4,C,0,52.32401,495.60999,11.11,6.92,0.32,0.85,69.09,38.56,29.33,0.19,5565000000.0,14208000000.0,4167000000.0
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,0.02,0.627,0.475,0.5,0.753,1.0,36.35,48.62,33.37,4,C,0,55.40337,1040.96997,40.98,15.58,0.25,1.53,51.28,31.92,26.79,7.31,10509873348.0,32702436332.0,8760946928.0
QCOM,QUALCOMM Inc.,Technology,Semiconductors,0.0198,0.613,0.385,0.5,0.888,0.95,2.7,7.49,46.41,3,C,0,45.42207,165.14,26.13,11.05,0.7,2.82,55.43,27.99,12.51,0.03,12820000000.0,44284000000.0,5541000000.0
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,0.0192,0.756,0.796,0.5,0.692,1.0,-15.64,5.74,41.17,8,A,0,46.22248,633.60999,34.14,22.59,0.27,2.98,81.67,42.18,37.91,22.65,54072000000.0,164501000000.0,62360000000.0
MCD,McDonald's Corp.,Consumer Cyclical,Restaurants,0.0171,0.49,0.363,0.5,0.648,0.6,0.06,6.8,18.1,4,C,0,60.10606,312.39999,-2.17,14.9,,1.19,56.75,45.72,31.73,0.47,6672000000.0,25920000000.0,8224000000.0
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products,0.017,0.53,0.361,0.5,0.569,1.0,-4.75,-10.68,15.98,4,C,0,48.60699,148.25,30.73,12.83,0.68,0.7,51.16,24.26,19.06,3.58,14044000000.0,84284000000.0,16065000000.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0167,0.534,0.438,0.5,0.448,1.0,51.18,68.9,34.94,5,C,0,73.42935,319.95001,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0
UPS,United Parcel Service,Industrials,Integrated Freight & Logistics,0.0166,0.58,0.428,0.5,0.798,0.75,9.63,-22.77,34.4,4,C,0,58.27185,95.67,34.53,8.25,1.53,1.17,17.96,9.3,6.35,3.5,6213000000.0,91070000000.0,5782000000.0
